elapsed_ms,timestamp,angle,feedback,zone
0,00:00:00.000,40.30,0,yellow
150,00:00:00.150,40.98,0,yellow
300,00:00:00.300,40.26,0,yellow
450,00:00:00.450,43.63,0,yellow
600,00:00:00.600,44.85,0,yellow
750,00:00:00.750,44.28,0,yellow
900,00:00:00.900,44.23,0,yellow
1050,00:00:01.050,43.96,0,yellow
1200,00:00:01.200,44.35,0,yellow
1350,00:00:01.350,44.41,0,yellow
1500,00:00:01.500,44.59,0,yellow
1650,00:00:01.650,44.74,0,yellow
1800,00:00:01.800,44.51,0,yellow
1950,00:00:01.950,43.83,0,yellow
2100,00:00:02.100,43.52,0,yellow
2250,00:00:02.250,43.70,0,yellow
2400,00:00:02.400,45.67,0,red
2550,00:00:02.550,39.82,0,yellow
2700,00:00:02.700,40.29,0,yellow
2850,00:00:02.850,40.66,0,yellow
3000,00:00:03.000,40.34,0,yellow
3150,00:00:03.150,40.32,0,yellow
3300,00:00:03.300,40.05,0,yellow
3450,00:00:03.450,40.35,0,yellow
3600,00:00:03.600,39.94,0,yellow
3750,00:00:03.750,39.92,0,yellow
3900,00:00:03.900,39.87,0,yellow
4050,00:00:04.050,39.41,0,yellow
4200,00:00:04.200,39.27,0,yellow
4350,00:00:04.350,40.30,0,yellow
4500,00:00:04.500,39.93,0,yellow
4650,00:00:04.650,40.78,0,yellow
4800,00:00:04.800,42.31,0,yellow
4950,00:00:04.950,46.63,0,red
5100,00:00:05.100,49.76,0,red
5250,00:00:05.250,46.40,0,red
5400,00:00:05.400,45.60,0,red
5550,00:00:05.550,43.46,0,yellow
5700,00:00:05.700,42.63,0,yellow
5850,00:00:05.850,45.08,0,red
6000,00:00:06.000,56.59,0,red
6150,00:00:06.150,69.59,0,red
6300,00:00:06.300,75.88,0,red
6450,00:00:06.450,67.88,0,red
6600,00:00:06.600,52.73,0,red
6750,00:00:06.750,41.89,0,yellow
6900,00:00:06.900,42.01,0,yellow
7050,00:00:07.050,40.66,0,yellow
7200,00:00:07.200,43.26,0,yellow
7350,00:00:07.350,42.37,0,yellow
7500,00:00:07.500,41.83,0,yellow
7650,00:00:07.650,46.49,0,red
7800,00:00:07.800,45.46,0,red
7950,00:00:07.950,44.65,0,yellow
8100,00:00:08.100,47.06,0,red
8250,00:00:08.250,50.66,0,red
8400,00:00:08.400,53.56,0,red
8550,00:00:08.550,51.60,0,red
8700,00:00:08.700,45.58,0,red
8850,00:00:08.850,43.79,0,yellow
9000,00:00:09.000,48.49,0,red
9150,00:00:09.150,51.17,0,red
9300,00:00:09.300,55.55,0,red
9450,00:00:09.450,52.81,0,red
9600,00:00:09.600,49.28,0,red
9750,00:00:09.750,52.02,0,red
9900,00:00:09.900,48.45,0,red
10050,00:00:10.050,51.30,0,red
10200,00:00:10.200,48.14,0,red
