elapsed_ms,timestamp,angle,feedback,zone
0,00:00:00.000,57.60,0,yellow
150,00:00:00.150,58.59,0,yellow
300,00:00:00.300,57.35,0,yellow
450,00:00:00.450,49.42,0,yellow
600,00:00:00.600,47.47,0,yellow
750,00:00:00.750,41.98,0,yellow
900,00:00:00.900,36.73,0,yellow
1050,00:00:01.050,34.16,0,yellow
1200,00:00:01.200,40.37,0,yellow
1350,00:00:01.350,43.03,0,yellow
1500,00:00:01.500,51.69,0,yellow
1650,00:00:01.650,49.61,0,yellow
1800,00:00:01.800,44.51,0,yellow
1950,00:00:01.950,48.54,0,yellow
2100,00:00:02.100,47.93,0,yellow
2250,00:00:02.250,54.19,0,yellow
2400,00:00:02.400,51.42,0,yellow
2550,00:00:02.550,50.45,0,yellow
2700,00:00:02.700,51.35,0,yellow
2850,00:00:02.850,50.70,0,yellow
3000,00:00:03.000,48.66,0,yellow
3150,00:00:03.150,43.07,0,yellow
3300,00:00:03.300,40.28,0,yellow
3450,00:00:03.450,36.70,0,yellow
3600,00:00:03.600,32.62,0,yellow
3750,00:00:03.750,36.60,0,yellow
3900,00:00:03.900,32.54,0,yellow
4050,00:00:04.050,28.24,0,green
4200,00:00:04.200,29.07,0,green
4350,00:00:04.350,26.87,0,green
4500,00:00:04.500,26.07,0,green
4650,00:00:04.650,26.73,0,green
4800,00:00:04.800,25.33,0,green
4950,00:00:04.950,24.23,0,green
5100,00:00:05.100,21.13,0,green
5250,00:00:05.250,20.22,0,green
5400,00:00:05.400,18.70,0,green
5550,00:00:05.550,18.69,0,green
5700,00:00:05.700,18.71,0,green
5850,00:00:05.850,19.49,0,green
6000,00:00:06.000,20.55,0,green
6150,00:00:06.150,19.78,0,green
6300,00:00:06.300,20.13,0,green
6450,00:00:06.450,20.52,0,green
6600,00:00:06.600,17.84,0,green
6750,00:00:06.750,19.37,0,green
6900,00:00:06.900,19.28,0,green
7050,00:00:07.050,19.91,0,green
7200,00:00:07.200,19.73,0,green
7350,00:00:07.350,20.44,0,green
7500,00:00:07.500,19.92,0,green
7650,00:00:07.650,19.21,0,green
7800,00:00:07.800,20.49,0,green
7950,00:00:07.950,20.16,0,green
8100,00:00:08.100,19.68,0,green
8250,00:00:08.250,19.73,0,green
8400,00:00:08.400,20.96,0,green
8550,00:00:08.550,20.01,0,green
8700,00:00:08.700,20.14,0,green
8850,00:00:08.850,20.17,0,green
9000,00:00:09.000,20.06,0,green
9150,00:00:09.150,17.09,0,green
9300,00:00:09.300,16.58,0,green
