elapsed_ms,timestamp,angle,feedback,zone
19,00:00:00.019,15.40,0,green
150,00:00:00.150,12.14,0,green
250,00:00:00.250,12.89,0,green
377,00:00:00.377,13.99,0,green
514,00:00:00.514,13.17,0,green
653,00:00:00.653,13.87,0,green
785,00:00:00.785,14.16,0,green
919,00:00:00.919,13.68,0,green
1057,00:00:01.057,13.48,0,green
1192,00:00:01.192,13.17,0,green
1328,00:00:01.328,11.95,0,green
1470,00:00:01.470,10.44,0,green
1600,00:00:01.600,12.33,0,green
1727,00:00:01.727,13.54,0,green
1863,00:00:01.863,13.24,0,green
1990,00:00:01.990,13.79,0,green
2118,00:00:02.118,14.90,0,green
2245,00:00:02.245,16.83,0,green
2381,00:00:02.381,17.05,0,green
2506,00:00:02.506,15.92,0,green
2606,00:00:02.606,15.23,0,green
2736,00:00:02.736,14.30,0,green
2871,00:00:02.871,15.86,0,green
3002,00:00:03.002,16.52,0,green
3139,00:00:03.139,15.41,0,green
3279,00:00:03.279,24.45,0,green
3405,00:00:03.405,35.35,0,yellow
3547,00:00:03.547,26.68,0,green
3671,00:00:03.671,23.40,0,green
3801,00:00:03.801,28.23,0,green
3935,00:00:03.935,25.83,0,green
4063,00:00:04.063,22.68,0,green
4165,00:00:04.165,25.72,0,green
4298,00:00:04.298,20.39,0,green
4431,00:00:04.431,22.08,0,green
4567,00:00:04.567,11.98,0,green
4688,00:00:04.688,23.21,0,green
4821,00:00:04.821,15.33,0,green
4955,00:00:04.955,8.17,0,green
5087,00:00:05.087,12.69,0,green
5229,00:00:05.229,16.77,0,green
5366,00:00:05.366,19.81,0,green
5497,00:00:05.497,12.62,0,green
5627,00:00:05.627,13.56,0,green
5760,00:00:05.760,12.06,0,green
5863,00:00:05.863,18.28,0,green
5987,00:00:05.987,3.52,0,green
6124,00:00:06.124,19.27,0,green
6261,00:00:06.261,21.29,0,green
6396,00:00:06.396,29.89,0,green
6498,00:00:06.498,27.88,0,green
6998,00:00:06.998,37.87,0,yellow
7130,00:00:07.130,38.08,1,yellow
7263,00:00:07.263,46.18,1,yellow
7390,00:00:07.390,46.98,1,yellow
7527,00:00:07.527,44.65,1,yellow
7648,00:00:07.648,44.65,1,yellow
7772,00:00:07.772,53.62,1,yellow
7902,00:00:07.902,54.66,1,yellow
8030,00:00:08.030,58.55,1,yellow
8163,00:00:08.163,57.79,0,yellow
8307,00:00:08.307,56.49,0,yellow
8408,00:00:08.408,55.58,0,yellow
8547,00:00:08.547,56.35,0,yellow
8676,00:00:08.676,55.63,1,yellow
8805,00:00:08.805,56.52,1,yellow
8937,00:00:08.937,56.25,1,yellow
9040,00:00:09.040,56.26,1,yellow
9182,00:00:09.182,57.72,1,yellow
9324,00:00:09.324,55.32,1,yellow
9461,00:00:09.461,55.28,1,yellow
9592,00:00:09.592,57.78,1,yellow
9719,00:00:09.719,61.09,1,red
9864,00:00:09.864,58.60,1,yellow
9991,00:00:09.991,47.25,1,yellow
10126,00:00:10.126,44.24,1,yellow
10260,00:00:10.260,44.41,1,yellow
10389,00:00:10.389,42.60,1,yellow
10523,00:00:10.523,39.53,1,yellow
10654,00:00:10.654,31.84,1,yellow
10789,00:00:10.789,22.83,0,green
10932,00:00:10.932,36.61,0,yellow
11055,00:00:11.055,44.31,0,yellow
11182,00:00:11.182,61.28,1,red
11320,00:00:11.320,47.54,0,yellow
11455,00:00:11.455,32.20,0,yellow
11586,00:00:11.586,6.81,0,green
11726,00:00:11.726,12.83,0,green
11869,00:00:11.869,15.25,0,green
12005,00:00:12.005,12.53,0,green
12142,00:00:12.142,12.77,0,green
12273,00:00:12.273,8.65,0,green
12409,00:00:12.409,16.25,0,green
12537,00:00:12.537,43.85,0,yellow
12662,00:00:12.662,44.32,0,yellow
12797,00:00:12.797,39.91,0,yellow
12934,00:00:12.934,35.61,0,yellow
13065,00:00:13.065,33.04,1,yellow
13195,00:00:13.195,34.56,1,yellow
13320,00:00:13.320,19.76,0,green
13447,00:00:13.447,25.88,0,green
13596,00:00:13.596,29.59,0,green
13716,00:00:13.716,27.13,0,green
13848,00:00:13.848,27.25,0,green
13984,00:00:13.984,32.28,0,yellow
14115,00:00:14.115,26.52,0,green
14248,00:00:14.248,29.40,0,green
14375,00:00:14.375,28.49,0,green
14508,00:00:14.508,25.81,0,green
14654,00:00:14.654,21.05,0,green
14754,00:00:14.754,24.56,0,green
14883,00:00:14.883,26.28,0,green
15026,00:00:15.026,24.16,0,green
15130,00:00:15.130,21.75,0,green
15262,00:00:15.262,22.14,0,green
15396,00:00:15.396,23.37,0,green
15531,00:00:15.531,22.59,0,green
15669,00:00:15.669,25.88,0,green
15799,00:00:15.799,25.40,0,green
15926,00:00:15.926,26.37,0,green
16057,00:00:16.057,26.37,0,green
16186,00:00:16.186,27.65,0,green
16329,00:00:16.329,27.20,0,green
16463,00:00:16.463,27.27,0,green
16591,00:00:16.591,25.28,0,green
16723,00:00:16.723,24.82,0,green
16854,00:00:16.854,26.51,0,green
16988,00:00:16.988,24.44,0,green
17117,00:00:17.117,26.08,0,green
17260,00:00:17.260,26.56,0,green
17389,00:00:17.389,26.02,0,green
17523,00:00:17.523,22.32,0,green
17650,00:00:17.650,24.02,0,green
17781,00:00:17.781,21.60,0,green
17884,00:00:17.884,18.23,0,green
18019,00:00:18.019,22.90,0,green
18159,00:00:18.159,25.17,0,green
18282,00:00:18.282,14.83,0,green
18409,00:00:18.409,15.70,0,green
18540,00:00:18.540,13.55,0,green
18664,00:00:18.664,15.38,0,green
18802,00:00:18.802,5.89,0,green
18927,00:00:18.927,20.58,0,green
19049,00:00:19.049,11.86,0,green
19175,00:00:19.175,7.88,0,green
19306,00:00:19.306,7.89,0,green
19445,00:00:19.445,11.31,0,green
