elapsed_ms,timestamp,angle,feedback,zone
0,00:00:00.000,81.84,0,red
150,00:00:00.150,70.11,0,red
300,00:00:00.300,61.33,0,red
450,00:00:00.450,50.57,0,yellow
600,00:00:00.600,44.24,0,yellow
750,00:00:00.750,40.89,0,yellow
900,00:00:00.900,37.90,0,yellow
1050,00:00:01.050,37.42,0,yellow
1200,00:00:01.200,49.26,0,yellow
1350,00:00:01.350,57.83,0,yellow
1500,00:00:01.500,53.01,0,yellow
1650,00:00:01.650,50.48,0,yellow
1800,00:00:01.800,50.61,0,yellow
1950,00:00:01.950,56.28,0,yellow
2100,00:00:02.100,58.34,0,yellow
2250,00:00:02.250,58.01,0,yellow
2400,00:00:02.400,55.93,0,yellow
2550,00:00:02.550,56.74,0,yellow
2700,00:00:02.700,60.10,0,red
2850,00:00:02.850,57.08,0,yellow
3000,00:00:03.000,48.11,0,yellow
3150,00:00:03.150,41.69,0,yellow
3300,00:00:03.300,39.38,0,yellow
3450,00:00:03.450,43.11,0,yellow
3600,00:00:03.600,41.37,0,yellow
3750,00:00:03.750,41.46,0,yellow
3900,00:00:03.900,38.08,0,yellow
4050,00:00:04.050,34.71,0,yellow
4200,00:00:04.200,33.00,0,yellow
4350,00:00:04.350,33.32,0,yellow
4500,00:00:04.500,33.17,0,yellow
4650,00:00:04.650,32.80,0,yellow
4800,00:00:04.800,31.19,0,yellow
4950,00:00:04.950,28.82,0,green
5100,00:00:05.100,26.59,0,green
5250,00:00:05.250,26.15,0,green
5400,00:00:05.400,25.68,0,green
5550,00:00:05.550,25.58,0,green
5700,00:00:05.700,26.06,0,green
5850,00:00:05.850,26.65,0,green
6000,00:00:06.000,27.26,0,green
6150,00:00:06.150,26.90,0,green
6300,00:00:06.300,26.89,0,green
6450,00:00:06.450,26.69,0,green
6600,00:00:06.600,25.47,0,green
6750,00:00:06.750,25.68,0,green
6900,00:00:06.900,25.99,0,green
7050,00:00:07.050,26.28,0,green
7200,00:00:07.200,26.53,0,green
7350,00:00:07.350,27.18,0,green
7500,00:00:07.500,27.40,0,green
7650,00:00:07.650,26.75,0,green
7800,00:00:07.800,27.08,0,green
7950,00:00:07.950,27.08,0,green
8100,00:00:08.100,26.80,0,green
8250,00:00:08.250,26.96,0,green
8400,00:00:08.400,28.25,0,green
8550,00:00:08.550,27.99,0,green
8700,00:00:08.700,26.73,0,green
8850,00:00:08.850,26.48,0,green
9000,00:00:09.000,26.05,0,green
