elapsed_ms,timestamp,angle,feedback,zone
0,00:00:00.000,32.96,0,yellow
150,00:00:00.150,17.34,0,green
300,00:00:00.300,4.78,0,green
450,00:00:00.450,0.28,0,green
600,00:00:00.600,-1.31,0,green
750,00:00:00.750,-1.79,0,green
900,00:00:00.900,-1.39,0,green
1050,00:00:01.050,-0.91,0,green
1200,00:00:01.200,-1.09,0,green
1350,00:00:01.350,0.48,0,green
1500,00:00:01.500,3.41,0,green
1650,00:00:01.650,6.36,0,green
1800,00:00:01.800,8.31,0,green
1950,00:00:01.950,8.39,0,green
2100,00:00:02.100,8.95,0,green
2250,00:00:02.250,10.06,0,green
2400,00:00:02.400,10.04,0,green
2550,00:00:02.550,8.3,0,green
2700,00:00:02.700,6.74,0,green
2850,00:00:02.850,5.63,0,green
3000,00:00:03.000,5.38,0,green
3150,00:00:03.150,6.17,0,green
3300,00:00:03.300,4.68,0,green
3450,00:00:03.450,4.9,0,green
3600,00:00:03.600,5.04,0,green
3750,00:00:03.750,5.06,0,green
3900,00:00:03.900,5.97,0,green
4050,00:00:04.050,6.15,0,green
4200,00:00:04.200,6.1,0,green
4350,00:00:04.350,6.35,0,green
4500,00:00:04.500,7.34,0,green
4650,00:00:04.650,8.8,0,green
4800,00:00:04.800,10.48,0,green
4950,00:00:04.950,10.66,0,green
5100,00:00:05.100,10.04,0,green
5250,00:00:05.250,9.34,0,green
5400,00:00:05.400,8.29,0,green
5550,00:00:05.550,7.31,0,green
5700,00:00:05.700,5.84,0,green
5850,00:00:05.850,4.46,0,green
6000,00:00:06.000,3.75,0,green
6150,00:00:06.150,2.67,0,green
6300,00:00:06.300,1.63,0,green
6450,00:00:06.450,1.82,0,green
6600,00:00:06.600,2.26,0,green
6750,00:00:06.750,2.59,0,green
6900,00:00:06.900,2.98,0,green
7050,00:00:07.050,2.76,0,green
7200,00:00:07.200,2.18,0,green
7350,00:00:07.350,2.02,0,green
7500,00:00:07.500,1.84,0,green
7650,00:00:07.650,1.59,0,green
7800,00:00:07.800,1.26,0,green
7950,00:00:07.950,1.13,0,green
8100,00:00:08.100,0.99,0,green
8250,00:00:08.250,0.47,0,green
8400,00:00:08.400,0.32,0,green
8550,00:00:08.550,-0.57,0,green
8700,00:00:08.700,0.99,0,green
8850,00:00:08.850,5.7,0,green
9000,00:00:09.000,10.15,0,green
9150,00:00:09.150,11.23,0,green
9300,00:00:09.300,10.96,0,green
9450,00:00:09.450,7.64,0,green
9600,00:00:09.600,1.48,0,green
9750,00:00:09.750,-4.06,0,green
9900,00:00:09.900,-4.85,0,green
10050,00:00:10.050,-3.98,0,green
10200,00:00:10.200,-2.87,0,green
10350,00:00:10.350,4.75,0,green
10500,00:00:10.500,7.67,0,green
10650,00:00:10.650,3.46,0,green
10800,00:00:10.800,1.69,0,green
10950,00:00:10.950,8.8,0,green
11100,00:00:11.100,11.93,0,green
11250,00:00:11.250,8.22,0,green
11400,00:00:11.400,7.58,0,green
11550,00:00:11.550,12.89,0,green
11700,00:00:11.700,6.36,0,green
11850,00:00:11.850,10.13,0,green
12000,00:00:12.000,14.08,0,green
12150,00:00:12.150,16.7,0,green
12300,00:00:12.300,8.49,0,green
12450,00:00:12.450,0.81,0,green
12600,00:00:12.600,-4.29,0,green
12750,00:00:12.750,-5.24,0,green
12900,00:00:12.900,-2.38,0,green
13050,00:00:13.050,-1.36,0,green
13200,00:00:13.200,-1.18,0,green
13350,00:00:13.350,-0.01,0,green
13500,00:00:13.500,8.31,0,green
13650,00:00:13.650,9.37,0,green
13800,00:00:13.800,6.58,0,green
13950,00:00:13.950,1.03,0,green
14100,00:00:14.100,5.22,0,green
14250,00:00:14.250,6.22,0,green
14400,00:00:14.400,2.96,0,green
14550,00:00:14.550,2.61,0,green
14700,00:00:14.700,8.73,0,green
14850,00:00:14.850,6.09,0,green
15000,00:00:15.000,1.55,0,green
