elapsed_ms,timestamp,angle,feedback,zone
0,00:00:00.000,25.98,0,yellow
150,00:00:00.150,12.82,0,green
300,00:00:00.300,1.95,0,green
450,00:00:00.450,0.38,0,green
600,00:00:00.600,0.11,0,green
750,00:00:00.750,-0.70,0,green
900,00:00:00.900,-0.94,0,green
1050,00:00:01.050,-1.19,0,green
1200,00:00:01.200,-0.87,0,green
1350,00:00:01.350,-0.54,0,green
1500,00:00:01.500,-0.19,0,green
1650,00:00:01.650,-0.01,0,green
1800,00:00:01.800,-0.16,0,green
1950,00:00:01.950,-0.59,0,green
2100,00:00:02.100,-0.75,0,green
2250,00:00:02.250,-0.65,0,green
2400,00:00:02.400,-0.21,0,green
2550,00:00:02.550,-3.18,0,green
2700,00:00:02.700,-4.09,0,green
2850,00:00:02.850,-3.85,0,green
3000,00:00:03.000,-3.50,0,green
3150,00:00:03.150,-3.44,0,green
3300,00:00:03.300,-3.61,0,green
3450,00:00:03.450,-3.54,0,green
3600,00:00:03.600,-3.57,0,green
3750,00:00:03.750,-3.65,0,green
3900,00:00:03.900,-3.55,0,green
4050,00:00:04.050,-3.61,0,green
4200,00:00:04.200,-3.21,0,green
4350,00:00:04.350,-2.31,0,green
4500,00:00:04.500,-1.96,0,green
4650,00:00:04.650,-0.52,0,green
4800,00:00:04.800,1.63,0,green
4950,00:00:04.950,5.17,0,green
5100,00:00:05.100,7.14,0,green
5250,00:00:05.250,4.85,0,green
5400,00:00:05.400,3.07,0,green
5550,00:00:05.550,1.68,0,green
5700,00:00:05.700,2.31,0,green
5850,00:00:05.850,8.13,0,green
6000,00:00:06.000,19.75,0,green
6150,00:00:06.150,29.29,0,yellow
6300,00:00:06.300,30.89,0,yellow
6450,00:00:06.450,21.15,0,yellow
6600,00:00:06.600,7.99,0,green
6750,00:00:06.750,-1.38,0,green
6900,00:00:06.900,-2.85,0,green
7050,00:00:07.050,-2.45,0,green
7200,00:00:07.200,-0.41,0,green
7350,00:00:07.350,-0.29,0,green
7500,00:00:07.500,0.93,0,green
7650,00:00:07.650,3.03,0,green
7800,00:00:07.800,2.83,0,green
7950,00:00:07.950,3.93,0,green
8100,00:00:08.100,4.76,0,green
8250,00:00:08.250,4.71,0,green
8400,00:00:08.400,7.24,0,green
8550,00:00:08.550,4.72,0,green
8700,00:00:08.700,0.25,0,green
8850,00:00:08.850,1.73,0,green
9000,00:00:09.000,7.26,0,green
9150,00:00:09.150,11.21,0,green
9300,00:00:09.300,14.41,0,green
9450,00:00:09.450,10.15,0,green
9600,00:00:09.600,6.99,0,green
9750,00:00:09.750,6.69,0,green
9900,00:00:09.900,6.09,0,green
10050,00:00:10.050,6.53,0,green
10200,00:00:10.200,6.92,0,green
10350,00:00:10.350,7.85,0,green
10500,00:00:10.500,5.80,0,green
10650,00:00:10.650,4.07,0,green
10800,00:00:10.800,2.42,0,green
10950,00:00:10.950,2.89,0,green
11100,00:00:11.100,5.13,0,green
11250,00:00:11.250,6.26,0,green
11400,00:00:11.400,6.79,0,green
11550,00:00:11.550,4.82,0,green
11700,00:00:11.700,2.66,0,green
11850,00:00:11.850,3.01,0,green
12000,00:00:12.000,1.80,0,green
12150,00:00:12.150,0.29,0,green
12300,00:00:12.300,1.61,0,green
12450,00:00:12.450,2.95,0,green
12600,00:00:12.600,2.89,0,green
12750,00:00:12.750,1.91,0,green
12900,00:00:12.900,2.02,0,green
13050,00:00:13.050,2.40,0,green
13200,00:00:13.200,2.88,0,green
13350,00:00:13.350,2.92,0,green
13500,00:00:13.500,2.64,0,green
13650,00:00:13.650,2.33,0,green
13800,00:00:13.800,3.22,0,green
13950,00:00:13.950,4.35,0,green
14100,00:00:14.100,3.65,0,green
14250,00:00:14.250,0.47,0,green
14400,00:00:14.400,-0.47,0,green
14550,00:00:14.550,2.49,0,green
14700,00:00:14.700,7.43,0,green
14850,00:00:14.850,8.08,0,green
15000,00:00:15.000,6.61,0,green
15150,00:00:15.150,5.35,0,green
15300,00:00:15.300,3.52,0,green
15450,00:00:15.450,3.34,0,green
15600,00:00:15.600,3.89,0,green
15750,00:00:15.750,4.16,0,green
15900,00:00:15.900,3.63,0,green
16050,00:00:16.050,3.00,0,green
16200,00:00:16.200,2.80,0,green
16350,00:00:16.350,2.79,0,green
16500,00:00:16.500,3.08,0,green
16650,00:00:16.650,3.18,0,green
16800,00:00:16.800,3.30,0,green
16950,00:00:16.950,2.98,0,green
17100,00:00:17.100,2.31,0,green
17250,00:00:17.250,2.35,0,green
17400,00:00:17.400,4.30,0,green
17550,00:00:17.550,4.83,0,green
17700,00:00:17.700,2.90,0,green
17850,00:00:17.850,1.30,0,green
18000,00:00:18.000,1.65,0,green
18150,00:00:18.150,5.50,0,green
18300,00:00:18.300,7.74,0,green
18450,00:00:18.450,9.03,0,green
18600,00:00:18.600,8.47,0,green
18750,00:00:18.750,10.03,0,green
18900,00:00:18.900,11.65,0,green
19050,00:00:19.050,7.86,0,green
19200,00:00:19.200,7.48,0,green
19350,00:00:19.350,8.59,0,green
19500,00:00:19.500,5.97,0,green
19650,00:00:19.650,5.26,0,green
19800,00:00:19.800,5.46,0,green
19950,00:00:19.950,5.92,0,green
20100,00:00:20.100,6.81,0,green
20250,00:00:20.250,7.47,0,green
20400,00:00:20.400,6.67,0,green
20550,00:00:20.550,5.85,0,green
20700,00:00:20.700,6.17,0,green
20850,00:00:20.850,7.11,0,green
21000,00:00:21.000,6.58,0,green
21150,00:00:21.150,7.04,0,green
21300,00:00:21.300,6.39,0,green
21450,00:00:21.450,8.18,0,green
21600,00:00:21.600,10.85,0,green
21750,00:00:21.750,14.30,0,green
21900,00:00:21.900,16.46,0,green
22050,00:00:22.050,16.80,0,green
22200,00:00:22.200,15.01,0,green
22350,00:00:22.350,11.41,0,green
22500,00:00:22.500,8.30,0,green
22650,00:00:22.650,7.87,0,green
22800,00:00:22.800,7.62,0,green
22950,00:00:22.950,5.66,0,green
23100,00:00:23.100,7.00,0,green
23250,00:00:23.250,7.75,0,green
23400,00:00:23.400,7.05,0,green
23550,00:00:23.550,6.76,0,green
23700,00:00:23.700,6.57,0,green
23850,00:00:23.850,4.82,0,green
24000,00:00:24.000,2.67,0,green
24150,00:00:24.150,0.85,0,green
24300,00:00:24.300,1.41,0,green
24450,00:00:24.450,2.72,0,green
24600,00:00:24.600,5.82,0,green
24750,00:00:24.750,8.53,0,green
24900,00:00:24.900,5.62,0,green
25050,00:00:25.050,3.53,0,green
25200,00:00:25.200,2.27,0,green
25350,00:00:25.350,1.50,0,green
25500,00:00:25.500,1.33,0,green
25650,00:00:25.650,0.95,0,green
25800,00:00:25.800,2.10,0,green
25950,00:00:25.950,2.52,0,green
26100,00:00:26.100,3.05,0,green
26250,00:00:26.250,4.31,0,green
26400,00:00:26.400,4.06,0,green
26550,00:00:26.550,2.99,0,green
26700,00:00:26.700,3.64,0,green
26850,00:00:26.850,3.74,0,green
27000,00:00:27.000,3.73,0,green
27150,00:00:27.150,2.17,0,green
27300,00:00:27.300,2.42,0,green
27450,00:00:27.450,3.00,0,green
27600,00:00:27.600,2.79,0,green
27750,00:00:27.750,3.58,0,green
27900,00:00:27.900,4.35,0,green
28050,00:00:28.050,5.14,0,green
28200,00:00:28.200,5.70,0,green
28350,00:00:28.350,7.22,0,green
28500,00:00:28.500,6.78,0,green
28650,00:00:28.650,5.85,0,green
28800,00:00:28.800,4.63,0,green
28950,00:00:28.950,3.20,0,green
29100,00:00:29.100,-0.43,0,green
29250,00:00:29.250,-0.97,0,green
